,IDcliente,CHURN,GENERO_CLIENTE,ADULTO_MAYOR,CON_PAREJA,CLIENTE_CON_DEPENDIENTE,ANTIGUEDAD_CLIENTE,SERVICIO_TELEFONO,MULTIPLES_LINEAS,S_INTERNET,SEGURIDAD_ONLINE,RESPALDO_ONLINE,PROTECCION_DISPOSITIVOS,SOPORTE_TECNICO,TV_STREAMING,PELICULAS_STREAMING,CONTRATO,BOLETA_ELECTRONICA,METODO_PAGO,CARGO_MENSUAL,CARGO_TOTAL,Cuentas_Diarias
3598,4957-SREEC,No,Hombre,0,Si,Si,70,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.35,1458.1,0.68
3599,4957-TIALW,No,Mujer,0,No,Si,15,Si,No,DSL,Si,Si,Si,Si,No,No,One year,No,Credit card (automatic),65.6,1010.0,2.19
3600,4957-TREIR,No,Hombre,0,No,No,3,Si,No,DSL,Si,No,No,Si,Si,No,Month-to-month,Si,Credit card (automatic),64.4,195.65,2.15
3601,4958-GZWIY,Si,Hombre,0,Si,Si,7,Si,No,DSL,No,No,Si,No,No,No,Month-to-month,No,Electronic check,48.7,340.25,1.62
3602,4958-XCBDQ,Si,Hombre,1,No,No,35,Si,Si,Fiber optic,No,No,Si,No,Si,Si,Month-to-month,Si,Electronic check,101.4,3496.3,3.38
3603,4959-JOSRX,Si,Mujer,0,Si,No,2,Si,No,DSL,No,No,No,No,No,No,Month-to-month,Si,Credit card (automatic),44.6,80.55,1.49
3604,4962-CHQPW,No,Hombre,0,No,Si,29,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,535.05,0.66
3605,4967-WPNCF,No,Hombre,0,No,No,72,No,No phone service,DSL,Si,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),63.7,4464.8,2.12
3606,4971-PUYQO,Si,Mujer,0,No,No,27,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Mailed check,94.55,2724.6,3.15
3607,4973-MGTON,No,Mujer,0,Si,No,71,Si,No,DSL,Si,Si,Si,Si,Si,Si,Two year,Si,Credit card (automatic),84.4,5969.3,2.81
3608,4973-RLZVI,No,Mujer,0,No,No,30,Si,No,DSL,Si,Si,Si,Si,Si,No,One year,No,Credit card (automatic),74.65,2308.6,2.49
3609,4976-LNFVV,No,Hombre,1,Si,No,19,No,No phone service,DSL,No,Si,Si,No,No,No,Month-to-month,Si,Credit card (automatic),34.3,577.15,1.14
3610,4979-HPRFL,No,Hombre,0,Si,Si,56,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.15,1402.25,0.8
3611,4980-URKXC,No,Hombre,0,Si,No,36,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.85,720.05,0.7
3612,4981-FLTMF,No,Mujer,0,Si,Si,57,Si,Si,DSL,Si,Si,No,Si,No,No,Month-to-month,No,Bank transfer (automatic),65.2,3687.85,2.17
3613,4983-CCWMC,No,Hombre,0,No,No,3,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Mailed check,69.6,207.4,2.32
3614,4983-CLMLV,No,Mujer,0,Si,No,52,Si,Si,Fiber optic,No,Si,No,Si,Si,Si,Month-to-month,Si,Credit card (automatic),102.7,5138.1,3.42
3615,4986-MXSFP,No,Mujer,0,No,No,2,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,20.0,40.9,0.67
3616,4987-GQWPO,No,Hombre,0,No,No,17,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.1,382.8,0.84
3618,4988-IQIGL,Si,Hombre,1,No,No,1,Si,Si,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,75.35,75.35,2.51
3620,4989-LIXVT,No,Hombre,1,No,No,68,Si,Si,Fiber optic,No,Si,Si,No,No,Si,Month-to-month,Si,Electronic check,95.9,6503.2,3.2
3621,4990-ALDGW,No,Hombre,0,No,No,57,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,1118.8,0.69
3622,4992-LTJNE,No,Hombre,0,Si,Si,72,Si,Si,DSL,Si,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.3,3983.6,1.84
3623,4993-JCRGJ,No,Hombre,0,No,No,26,Si,Si,Fiber optic,No,No,Si,Si,No,No,Month-to-month,Si,Mailed check,84.3,2281.6,2.81
3624,4994-OBRSZ,No,Hombre,0,No,Si,14,Si,No,DSL,Si,Si,Si,Si,No,Si,Two year,No,Bank transfer (automatic),76.1,1054.8,2.54
3625,4998-IKFSE,No,Mujer,0,No,No,30,Si,Si,Fiber optic,No,No,Si,No,Si,Si,Month-to-month,No,Electronic check,100.45,3096.9,3.35
3626,4999-IEZLT,No,Hombre,0,No,No,66,No,No phone service,DSL,No,No,No,Si,No,No,One year,No,Credit card (automatic),29.45,1983.15,0.98
3627,5002-GCQFH,No,Hombre,0,Si,No,49,Si,Si,Fiber optic,Si,Si,No,No,Si,No,Month-to-month,Si,Bank transfer (automatic),93.85,4733.1,3.13
3628,5003-OKNNK,No,Mujer,0,Si,Si,15,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.35,335.95,0.68
3629,5003-XZWWO,No,Hombre,0,Si,No,71,Si,Si,DSL,No,Si,Si,Si,Si,Si,Two year,No,Credit card (automatic),84.2,5956.85,2.81
3630,5006-MXVRN,No,Mujer,0,No,No,39,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.7,762.45,0.69
3631,5010-IPEAQ,No,Mujer,0,Si,Si,67,No,No phone service,DSL,Si,Si,Si,Si,Si,No,Two year,No,Credit card (automatic),54.2,3623.95,1.81
3632,5012-YSPJJ,No,Hombre,0,Si,Si,31,Si,No,DSL,No,No,Si,Si,No,No,Month-to-month,No,Mailed check,54.35,1647.0,1.81
3633,5013-SBUIH,Si,Mujer,0,No,No,50,Si,Si,Fiber optic,Si,Si,No,Si,Si,Si,Two year,Si,Electronic check,109.65,5551.15,3.66
3634,5014-GSOUQ,No,Hombre,0,No,No,13,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.95,243.65,0.66
3635,5014-WUQMG,No,Hombre,0,Si,Si,47,Si,No,Fiber optic,Si,Si,Si,No,No,Si,One year,Si,Electronic check,96.1,4391.45,3.2
3636,5016-ETTFF,Si,Hombre,0,No,No,10,No,No phone service,DSL,No,No,Si,No,No,No,Month-to-month,No,Mailed check,29.5,255.25,0.98
3637,5016-IBERQ,No,Hombre,0,Si,No,23,Si,Si,Fiber optic,No,Si,Si,No,No,No,Month-to-month,No,Electronic check,84.25,1968.1,2.81
3638,5016-LIPDW,No,Hombre,0,Si,Si,57,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.4,1061.6,0.65
3639,5018-GWURO,No,Mujer,0,Si,No,56,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Bank transfer (automatic),85.6,4902.8,2.85
3640,5018-HEKFO,No,Mujer,0,No,No,10,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,24.5,270.15,0.82
3641,5018-LXQQG,No,Mujer,0,Si,Si,30,Si,No,DSL,Si,No,No,Si,No,Si,Month-to-month,No,Bank transfer (automatic),66.3,1923.5,2.21
3642,5019-GQVCR,No,Hombre,1,No,No,43,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,Si,Electronic check,84.85,3645.6,2.83
3643,5020-ZSTTY,Si,Mujer,1,No,No,54,Si,Si,DSL,Si,Si,No,Si,Si,Si,One year,No,Bank transfer (automatic),82.45,4350.1,2.75
3644,5022-JNQEQ,No,Mujer,0,Si,Si,9,Si,No,Fiber optic,No,No,No,Si,No,No,Month-to-month,Si,Electronic check,75.85,647.5,2.53
3645,5022-KVDQT,No,Hombre,0,No,No,27,Si,Si,Fiber optic,No,No,Si,No,No,No,Month-to-month,Si,Electronic check,81.3,2272.8,2.71
3646,5025-GOOKI,No,Mujer,0,No,No,20,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Credit card (automatic),18.9,347.65,0.63
3647,5027-QPKTE,Si,Hombre,0,Si,No,7,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,69.35,451.1,2.31
3648,5027-XWQHA,Si,Hombre,0,No,No,6,Si,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.75,270.95,1.49
3649,5027-YOCXN,No,Hombre,0,Si,Si,51,Si,Si,Fiber optic,Si,Si,No,Si,Si,Si,One year,No,Credit card (automatic),110.05,5686.4,3.67
3650,5028-GZLDO,Si,Hombre,0,No,No,2,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70.7,140.7,2.36
3651,5028-HTLJB,Si,Hombre,1,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,0.67
3652,5032-MIYKT,No,Mujer,0,No,No,1,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Mailed check,70.7,70.7,2.36
3653,5032-USPKF,No,Mujer,0,No,No,38,Si,Si,DSL,Si,Si,Si,No,Si,Si,One year,No,Bank transfer (automatic),84.1,3187.65,2.8
3654,5035-BVCXS,No,Hombre,0,No,No,11,Si,No,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Mailed check,75.9,866.4,2.53
3655,5035-PGZXH,No,Mujer,0,No,No,56,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,One year,Si,Electronic check,106.8,5914.4,3.56
3656,5038-ETMLM,No,Mujer,0,Si,No,72,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Bank transfer (automatic),113.65,8182.75,3.79
3657,5039-LZRQT,No,Mujer,0,No,No,13,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,273.25,0.67
3658,5043-TRZWM,No,Mujer,0,No,No,1,Si,No,Fiber optic,No,No,Si,No,No,No,Month-to-month,No,Electronic check,75.55,75.55,2.52
3659,5044-LRQAQ,No,Mujer,0,Si,No,7,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Bank transfer (automatic),69.2,477.55,2.31
3660,5044-XDPYX,No,Mujer,0,Si,No,51,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.5,1281.25,0.85
3661,5046-NUHWD,No,Mujer,1,Si,No,29,No,No phone service,DSL,Si,No,Si,No,No,Si,Month-to-month,Si,Electronic check,45.0,1228.65,1.5
3662,5047-LHVLY,Si,Hombre,1,No,Si,1,Si,No,DSL,No,No,Si,No,No,No,Month-to-month,Si,Mailed check,50.15,50.15,1.67
3663,5049-GLYVG,Si,Hombre,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,20.6,0.69
3664,5049-MUBWG,No,Hombre,0,No,No,26,Si,No,DSL,Si,No,No,Si,Si,Si,One year,No,Bank transfer (automatic),75.0,1908.35,2.5
3665,5052-PNLOS,Si,Hombre,0,No,No,3,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),105.35,323.25,3.51
3666,5054-IEXZT,Si,Hombre,0,No,Si,1,Si,No,Fiber optic,No,Si,No,No,No,No,Month-to-month,Si,Electronic check,75.35,75.35,2.51
3667,5055-BRMNE,No,Mujer,0,Si,Si,67,Si,Si,Fiber optic,Si,No,No,Si,Si,Si,Two year,No,Credit card (automatic),106.7,7009.5,3.56
3668,5055-MGMGF,No,Mujer,0,Si,No,65,Si,Si,Fiber optic,Si,No,Si,No,Si,Si,Month-to-month,Si,Electronic check,105.05,6914.95,3.5
3669,5056-FIMPT,No,Mujer,0,No,Si,43,Si,No,Fiber optic,Si,Si,No,Si,Si,Si,One year,Si,Credit card (automatic),106.0,4532.3,3.53
3670,5057-LCOUI,Si,Mujer,0,No,No,39,No,No phone service,DSL,No,No,Si,No,Si,Si,Month-to-month,Si,Electronic check,50.75,2011.4,1.69
3671,5057-RKGLH,No,Mujer,0,Si,Si,9,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.35,191.1,0.68
3672,5060-TQUQN,No,Hombre,0,Si,Si,30,Si,Si,Fiber optic,No,Si,No,Si,No,No,Month-to-month,Si,Bank transfer (automatic),83.55,2570.2,2.78
3673,5061-PBXFW,No,Mujer,0,Si,Si,32,Si,No,DSL,Si,Si,No,Si,No,No,Month-to-month,No,Bank transfer (automatic),61.4,1864.65,2.05
3674,5062-CJJKH,No,Hombre,0,Si,Si,25,Si,No,DSL,No,Si,Si,No,No,No,One year,No,Mailed check,53.65,1355.45,1.79
3675,5063-IUOKK,No,Hombre,0,No,No,13,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.75,265.75,0.66
3676,5066-GFJMM,No,Mujer,0,Si,No,3,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,19.9,45.75,0.66
3677,5067-DGXLL,No,Hombre,0,No,No,2,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,36.8,0.68
3678,5067-WJEUN,No,Hombre,0,Si,Si,67,Si,No,DSL,Si,Si,No,No,No,No,Two year,Si,Bank transfer (automatic),54.2,3838.2,1.81
3679,5067-XJQFU,No,Hombre,1,Si,Si,66,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,One year,Si,Electronic check,108.45,7076.35,3.62
3680,5071-FBJFS,No,Mujer,0,Si,Si,4,Si,No,DSL,Si,No,No,No,No,No,Month-to-month,No,Electronic check,50.3,217.1,1.68
3681,5073-RZGBK,No,Mujer,0,Si,Si,50,Si,Si,DSL,Si,Si,Si,Si,No,Si,One year,Si,Bank transfer (automatic),80.05,4042.2,2.67
3682,5073-WXOYN,Si,Mujer,0,No,No,60,No,No phone service,DSL,No,Si,No,No,Si,Si,Month-to-month,Si,Electronic check,50.8,3027.4,1.69
3683,5074-FBGHB,No,Hombre,0,No,No,64,Si,Si,Fiber optic,No,No,Si,Si,Si,Si,One year,Si,Credit card (automatic),104.65,6889.8,3.49
3684,5075-JSDKI,No,Mujer,0,No,No,59,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,24.45,1493.1,0.82
3685,5076-YVXCM,No,Hombre,0,No,No,51,Si,Si,Fiber optic,No,No,No,No,No,Si,Month-to-month,No,Bank transfer (automatic),83.4,4149.45,2.78
3686,5077-DXTCG,Si,Mujer,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Month-to-month,Si,Electronic check,45.3,45.3,1.51
3687,5081-NWSUP,No,Mujer,0,No,No,10,Si,No,DSL,No,Si,No,Si,No,Si,One year,No,Mailed check,64.9,685.55,2.16
3689,5084-OOVCJ,No,Mujer,0,Si,Si,17,Si,No,DSL,Si,No,No,Si,No,No,Month-to-month,Si,Credit card (automatic),55.35,920.5,1.84
3690,5087-SUURX,Si,Mujer,0,Si,No,18,No,No phone service,DSL,No,No,Si,No,Si,No,Month-to-month,Si,Electronic check,39.05,669.85,1.3
3691,5088-QZLRL,No,Hombre,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.65,20.65,0.69
3692,5089-IFSDP,Si,Mujer,0,Si,No,58,Si,Si,Fiber optic,Si,Si,Si,No,Si,Si,Two year,Si,Bank transfer (automatic),109.45,6144.55,3.65
3693,5090-EMGTC,No,Mujer,0,Si,No,59,Si,No,Fiber optic,No,Si,No,Si,Si,Si,Two year,Si,Mailed check,100.05,6034.85,3.34
3694,5091-HFAZW,No,Mujer,0,No,No,2,Si,No,Fiber optic,Si,Si,No,No,Si,No,Month-to-month,Si,Electronic check,91.15,168.5,3.04
3695,5092-STPKP,No,Mujer,0,No,No,24,Si,No,DSL,Si,No,No,Si,No,No,Month-to-month,No,Credit card (automatic),56.35,1381.2,1.88
3696,5093-FEGLU,No,Mujer,0,Si,No,47,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.65,921.55,0.65
3697,5095-AESKG,Si,Mujer,0,Si,No,3,Si,Si,Fiber optic,No,Si,No,No,No,Si,Month-to-month,Si,Credit card (automatic),91.5,242.95,3.05
3698,5095-ETBRJ,No,Mujer,0,Si,No,55,Si,No,DSL,Si,Si,No,Si,No,No,Two year,No,Mailed check,56.8,3112.05,1.89
3699,5099-BAILX,Si,Hombre,1,Si,Si,43,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,Month-to-month,Si,Bank transfer (automatic),110.75,4687.9,3.69
3700,5103-MHMHY,Si,Mujer,0,No,Si,1,Si,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,1.53
3701,5108-ADXWO,Si,Hombre,0,No,No,11,Si,No,Fiber optic,Si,No,No,No,No,No,Month-to-month,Si,Electronic check,73.5,791.75,2.45
3702,5110-CHOPY,No,Mujer,0,No,No,60,No,No phone service,DSL,Si,No,Si,No,Si,Si,Two year,No,Electronic check,53.6,3237.05,1.79
3703,5115-GZDEL,No,Hombre,0,No,Si,72,No,No phone service,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Credit card (automatic),67.2,4671.7,2.24
3704,5115-SQAAU,No,Mujer,0,Si,Si,69,Si,Si,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Si,Bank transfer (automatic),25.6,1673.4,0.85
3705,5117-IFGPS,No,Hombre,1,Si,No,29,Si,Si,Fiber optic,No,No,No,No,No,Si,Month-to-month,Si,Electronic check,84.3,2357.75,2.81
3706,5117-ZSMHQ,No,Mujer,0,Si,Si,71,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Two year,No,Bank transfer (automatic),89.9,6342.7,3.0
3707,5118-MUEYH,No,Mujer,0,Si,No,48,Si,Si,Fiber optic,No,Si,No,Si,Si,Si,Month-to-month,Si,Credit card (automatic),105.1,5083.55,3.5
3708,5119-KEPFY,No,Hombre,0,Si,No,36,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Bank transfer (automatic),95.0,3440.25,3.17
3709,5119-NZPTV,No,Hombre,1,Si,No,2,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.1,141.65,2.34
3710,5120-ZBLAI,No,Mujer,0,Si,No,50,Si,Si,DSL,No,No,Si,No,Si,Si,One year,No,Bank transfer (automatic),75.7,3876.2,2.52
3711,5122-CYFXA,No,Mujer,0,No,No,3,Si,No,DSL,No,Si,No,Si,Si,Si,Month-to-month,Si,Electronic check,75.3,244.1,2.51
3712,5124-EOGYE,No,Hombre,0,No,No,31,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.45,638.55,0.68
3713,5125-CNDSP,No,Hombre,0,No,Si,63,No,No phone service,DSL,Si,Si,No,Si,No,No,One year,Si,Bank transfer (automatic),40.6,2588.95,1.35
3714,5126-RCXYW,No,Hombre,0,Si,Si,54,No,No phone service,DSL,No,No,Si,Si,No,Si,Two year,No,Credit card (automatic),46.0,2424.05,1.53
3715,5127-BZENZ,No,Mujer,0,Si,Si,56,Si,Si,DSL,Si,No,No,No,Si,No,One year,No,Bank transfer (automatic),65.2,3512.15,2.17
3716,5129-HHMZC,No,Mujer,0,Si,No,43,Si,Si,DSL,Si,Si,No,Si,Si,Si,Two year,No,Credit card (automatic),86.45,3574.5,2.88
3717,5129-JLPIS,No,Hombre,0,No,No,25,Si,No,Fiber optic,Si,No,Si,Si,Si,Si,Month-to-month,Si,Electronic check,105.5,2686.05,3.52
3718,5130-IEKQT,Si,Hombre,1,No,No,25,Si,Si,Fiber optic,No,Si,Si,No,Si,Si,Month-to-month,No,Mailed check,105.95,2655.25,3.53
3719,5130-YPIRV,No,Mujer,0,Si,No,62,Si,No,DSL,Si,Si,Si,No,Si,No,Two year,Si,Credit card (automatic),72.0,4284.2,2.4
3720,5131-PONJI,No,Hombre,0,Si,Si,49,Si,No,Fiber optic,No,Si,Si,No,Si,No,Month-to-month,Si,Credit card (automatic),90.4,4494.65,3.01
3721,5133-POWUA,No,Hombre,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Month-to-month,Si,Mailed check,45.8,45.8,1.53
3722,5133-VRSAB,No,Hombre,0,No,No,8,No,No phone service,DSL,Si,No,No,No,No,No,Month-to-month,No,Mailed check,29.35,216.45,0.98
3723,5134-IKDAY,Si,Mujer,0,Si,Si,1,Si,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Si,Electronic check,69.8,69.8,2.33
3725,5135-GRQJV,No,Hombre,1,Si,No,72,Si,Si,Fiber optic,Si,Si,Si,Si,Si,Si,Two year,Si,Mailed check,114.5,8331.95,3.82
3726,5135-RDDQL,No,Mujer,0,Si,Si,63,Si,No,DSL,Si,No,No,No,No,No,Two year,Si,Bank transfer (automatic),50.65,3221.25,1.69
3727,5136-GFPMB,No,Hombre,0,No,No,54,Si,Si,Fiber optic,No,No,Si,No,No,Si,Month-to-month,No,Credit card (automatic),89.4,4869.5,2.98
3728,5136-KCKGI,Si,Mujer,0,Si,Si,33,Si,Si,Fiber optic,Si,No,Si,No,Si,Si,One year,Si,Mailed check,103.7,3467.0,3.46
3729,5136-RGMZO,No,Hombre,0,No,No,31,Si,Si,DSL,No,Si,No,Si,Si,No,Month-to-month,Si,Electronic check,71.05,2168.15,2.37
3730,5138-WVKYJ,Si,Hombre,0,No,No,10,Si,Si,Fiber optic,Si,No,No,No,Si,Si,Month-to-month,No,Electronic check,98.55,1008.55,3.28
3731,5140-FOMCQ,No,Mujer,0,Si,No,59,Si,Si,Fiber optic,Si,Si,Si,No,Si,Si,One year,Si,Credit card (automatic),109.15,6557.75,3.64
3732,5141-ZUVBH,No,Mujer,0,No,Si,9,Si,No,Fiber optic,Si,No,Si,Si,No,Si,Month-to-month,No,Bank transfer (automatic),93.0,870.25,3.1
3733,5143-EGQFK,Si,Mujer,1,No,No,10,No,No phone service,DSL,No,No,No,Si,No,No,Month-to-month,Si,Electronic check,29.65,291.4,0.99
3734,5143-WMWOG,Si,Hombre,0,No,No,1,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.95,19.95,0.66
3735,5144-PQCDZ,No,Hombre,0,No,No,4,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Si,Mailed check,19.95,59.25,0.66
3736,5144-TVGLP,No,Hombre,1,No,No,38,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,No,Electronic check,94.75,3653.0,3.16
3737,5146-CBVOE,No,Mujer,0,No,No,16,Si,No,Fiber optic,No,Si,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.1,1212.85,2.5
3738,5146-YYFRZ,No,Hombre,0,No,No,67,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.95,1311.75,0.66
3739,5148-HKFIR,No,Mujer,0,No,No,20,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.7,406.95,0.66
3740,5148-ORICT,No,Mujer,0,Si,No,64,Si,No,DSL,Si,Si,Si,Si,No,Si,Two year,Si,Mailed check,74.35,4759.55,2.48
3741,5149-CUZUJ,No,Hombre,0,Si,Si,28,Si,No,Fiber optic,No,Si,Si,Si,Si,No,One year,No,Bank transfer (automatic),92.9,2768.35,3.1
3742,5149-QYTTU,No,Mujer,0,Si,Si,71,Si,Si,Fiber optic,Si,Si,Si,Si,No,No,One year,Si,Credit card (automatic),95.15,6770.85,3.17
3743,5149-TGWDZ,No,Mujer,0,No,No,21,Si,No,Fiber optic,No,Si,Si,Si,Si,Si,One year,Si,Mailed check,104.55,2239.4,3.48
3744,5150-ITWWB,No,Hombre,1,No,No,3,Si,Si,Fiber optic,No,No,No,No,Si,Si,Month-to-month,Si,Electronic check,94.85,335.75,3.16
3745,5150-LJNSR,No,Hombre,0,Si,Si,31,Si,Si,Fiber optic,Si,No,Si,No,Si,No,One year,No,Bank transfer (automatic),98.05,3082.1,3.27
3746,5151-HQRDG,No,Hombre,0,Si,No,37,Si,Si,DSL,Si,No,No,No,No,No,Month-to-month,Si,Mailed check,55.05,2030.75,1.84
3747,5153-LXKDT,No,Hombre,0,Si,Si,68,Si,Si,Fiber optic,Si,Si,Si,No,Si,Si,Two year,Si,Electronic check,110.2,7467.5,3.67
3748,5153-RTHKF,No,Mujer,0,No,No,34,Si,Si,Fiber optic,No,No,No,No,Si,No,Month-to-month,No,Electronic check,85.35,2896.6,2.84
3749,5154-VEKBL,Si,Mujer,0,No,No,9,No,No phone service,DSL,Si,No,Si,Si,Si,Si,Month-to-month,No,Mailed check,58.5,539.85,1.95
3750,5155-AZQPB,No,Mujer,0,Si,Si,28,Si,Si,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.9,1410.25,1.66
3751,5156-UMKOW,No,Mujer,0,No,Si,3,No,No phone service,DSL,No,Si,No,No,No,No,Month-to-month,No,Mailed check,29.65,90.05,0.99
3752,5158-RIVOP,No,Mujer,0,Si,Si,11,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.9,202.3,0.7
3753,5159-YFPKQ,Si,Mujer,0,No,No,2,Si,No,Fiber optic,No,No,Si,No,No,No,Month-to-month,Si,Electronic check,75.8,160.75,2.53
3754,5160-UXJED,No,Hombre,0,No,Si,17,Si,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,44.6,681.4,1.49
3755,5161-UBZXI,No,Hombre,0,Si,Si,69,Si,No,Fiber optic,Si,Si,No,Si,Si,Si,Two year,Si,Credit card (automatic),106.35,7261.75,3.54
3756,5161-XEUVX,No,Hombre,0,Si,No,37,Si,Si,Fiber optic,No,No,Si,Si,Si,No,Two year,No,Mailed check,94.3,3460.95,3.14
3757,5167-GBFRE,Si,Hombre,1,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Si,Bank transfer (automatic),25.2,102.5,0.84
3758,5167-ZFFMM,Si,Hombre,0,No,No,1,Si,Si,Fiber optic,No,Si,No,No,No,Si,Month-to-month,Si,Credit card (automatic),90.85,90.85,3.03
3759,5168-MQQCA,No,Mujer,0,Si,No,72,Si,Si,Fiber optic,No,Si,Si,Si,Si,Si,One year,Si,Bank transfer (automatic),108.5,8003.8,3.62
3760,5168-MSWXT,No,Hombre,0,Si,Si,8,Si,No,Fiber optic,No,No,Si,No,Si,Si,Month-to-month,Si,Electronic check,94.75,759.55,3.16
3761,5170-PTRKA,No,Mujer,0,Si,Si,49,No,No phone service,DSL,Si,No,No,Si,No,No,One year,Si,Credit card (automatic),35.8,1782.0,1.19
3762,5171-EPLKN,No,Hombre,0,No,No,27,Si,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.85,470.0,0.66
3763,5172-MIGPM,No,Hombre,0,No,No,4,Si,Si,DSL,No,No,No,Si,No,Si,Month-to-month,No,Mailed check,65.55,237.2,2.18
